date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:35	161/161	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a1%22	http://edu.nstu.ru/courses/saod/_themes/my/blhomes.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blhomes.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:35	161/161	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a1%22	http://edu.nstu.ru/courses/saod/_themes/my/blhomeh.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blhomeh.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:35	165/165	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a5%22	http://edu.nstu.ru/courses/saod/_themes/my/blnexts.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blnexts.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:35	165/165	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a5%22	http://edu.nstu.ru/courses/saod/_themes/my/blnexth.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blnexth.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:36	164/164	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a4%22	http://edu.nstu.ru/courses/saod/_themes/my/blprevs.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blprevs.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:36	164/164	---M--	200	added ('OK')	image/gif	etag:%224d6c63c3-a4%22	http://edu.nstu.ru/courses/saod/_themes/my/blprevh.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blprevh.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:36	162/162	---M--	200	added ('OK')	image/gif	etag:%224d6c63c4-a2%22	http://edu.nstu.ru/courses/saod/_themes/my/blups.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/blups.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:36	162/162	---M--	200	added ('OK')	image/gif	etag:%224d6c63c4-a2%22	http://edu.nstu.ru/courses/saod/_themes/my/bluph.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/bluph.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:37	511/511	---M--	200	added ('OK')	image/gif	etag:%224d6c62f7-1ff%22	http://edu.nstu.ru/courses/saod/_derived/psevdocod.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/psevdocod.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/psevdocod.htm)
21:31:37	241/241	---M--	200	added ('OK')	image/gif	etag:%224d6c62fa-f1%22	http://edu.nstu.ru/courses/saod/_derived/up_cmp_my010_up.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/up_cmp_my010_up.gif	(from http://edu.nstu.ru/courses/saod/psevdocod.htm)
21:31:37	230/230	---M--	200	added ('OK')	image/gif	etag:%224d6c62fa-e6%22	http://edu.nstu.ru/courses/saod/_derived/up_cmp_my010_up_a.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/up_cmp_my010_up_a.gif	(from http://edu.nstu.ru/courses/saod/psevdocod.htm)
21:31:37	2150/2150	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-866%22	http://edu.nstu.ru/courses/saod/images/Image15.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image15.gif	(from http://edu.nstu.ru/courses/saod/psevdocod.htm)
21:31:37	846/846	---M--	200	added ('OK')	image/gif	etag:%224d6c67b2-34e%22	http://edu.nstu.ru/courses/saod/images/comment.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/comment.gif	(from http://edu.nstu.ru/courses/saod/psevdocod.htm)
21:31:38	733/733	---M--	200	added ('OK')	image/gif	etag:%224d6c62ee-2dd%22	http://edu.nstu.ru/courses/saod/_derived/effectivnost.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/effectivnost.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:38	968/968	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-3c8%22	http://edu.nstu.ru/courses/saod/images/Image17.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image17.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:38	1039/1039	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-40f%22	http://edu.nstu.ru/courses/saod/images/Image18.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image18.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:38	61/61	---M--	200	added ('OK')	image/gif	etag:%224d6c67df-3d%22	http://edu.nstu.ru/courses/saod/images/mul.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/mul.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:39	1365/1365	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-555%22	http://edu.nstu.ru/courses/saod/images/Image19.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image19.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:39	1354/1354	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-54a%22	http://edu.nstu.ru/courses/saod/images/Image20.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image20.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:39	660/660	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-294%22	http://edu.nstu.ru/courses/saod/images/Image21_1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image21_1.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:39	1179/1179	---M--	200	added ('OK')	image/gif	etag:%224d6c67d7-49b%22	http://edu.nstu.ru/courses/saod/images/Image21.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image21.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
